,name,ingredients,cuisine
0,Huevos rancheros,"2 tbsp olive oil 1 small onion , diced 2 garlic cloves , crushed 400g can red kidney beans , drained and rinsed 1 tsp ground cumin ¼ tsp  chilli powder ½ tsp dried oregano 4 eggs 4 small flour tortillas , warmed 1 large tomato , diced handful pickled jalapeño peppers , roughly chopped 30g cheddar , grated 1 avocado , peeled, de-stoned and diced 1 lime , half juiced, half cut into wedges, to serve chopped coriander , to serve",mexican-recipes
1,Tacos dorados de barbacoa,"25g dried  morita chillies 1 dried ancho chilli 1 dried  pasilla mixe chilli 6 garlic cloves 10g sea salt 1 tbsp  balsamic vinegar 5 avocado leaves 150ml  grapeseed oil, plus more for frying 2 lamb shanks (1kg) 4-6 banana leaves 500ml vegetable or  beef stock 1 bulb  garlic, cloves peeled 2 red onions, sliced  4 tomatoes, thickly sliced 250g  tomatillos, roughly chopped 2½ green  jalapeños 2 garlic cloves, peeled ½ small bunch of coriander 1 lime, juiced 1 avocado, peeled with stone removed 20 corn tortillas 200ml  Mexican crema or soured cream 100g  queso fresco or feta 1 cos lettuce, shredded toothpicks",mexican-recipes
2,Chicken & bean enchiladas,"1 tbsp rapeseed oil 2 red onion , sliced 2 red peppers , deseeded and sliced 2 garlic cloves , crushed 2 tsp chipotle paste (add extra if you prefer more heat) 2 skinless chicken breasts, cut into thin strips 400g can black beans or kidney beans small bunch coriander , chopped 500ml passata 1 tsp ketchup or sugar 6 medium tortillas 50g mature cheddar , grated green salad , to serve",mexican-recipes
3,Mexican penne with avocado,"100g wholemeal penne 1 tsp rapeseed oil 1 large onion, sliced, plus 1 tbsp finely chopped 1 orange pepper, deseeded and cut into chunks 2 garlic cloves, grated 2 tsp mild chilli powder 1 tsp ground coriander ½ tsp cumin seeds 400g can chopped tomatoes 196g can sweetcorn in water 1 tsp vegetable bouillon powder 1 avocado, stoned and chopped 1/2 lime, zest and juice handful coriander, chopped, plus extra to serve",mexican-recipes
4,Mexican fiesta rice,"2 tbsp olive oil 1 onion , finely chopped 2 peppers (choose your favourite colours), finely chopped 4 garlic cloves , very finely chopped or crushed 1 tsp cumin seeds or ½ tsp ground cumin 1 tbsp tomato purée small pinch of sweet smoked paprika 250g basmati rice 450ml hot vegetable stock (make sure it’s vegan-friendly) finely chopped coriander  and sliced spring onions, to serve",mexican-recipes
5,Easy chicken fajitas,"2 large chicken breasts, finely sliced 1 red onion, finely sliced 1 red pepper, sliced 1 red chilli, finely sliced (optional) 1 heaped tbsp smoked paprika 1 tbsp ground coriander pinch of  ground cumin 2 medium  garlic cloves, crushed 4 tbsp olive oil 1 lime, juiced 4-5 drops Tabasco 6 medium tortillas bag mixed salad 230g tub fresh salsa",mexican-recipes
6,Mexican tomato rice,"1 tbsp sunflower oil 1 onion, finely chopped 2 garlic cloves, minced  250g long grain rice 1 tsp chipotle paste, optional (more if you want it spicier) 1 tbsp tomato purée 1 x 400g tin chopped tomatoes 750ml hot chicken or vegetable stock small bunch of coriander, finely chopped ",mexican-recipes
7,Tres leches cake,"flavourless oil , for the tin 4 eggs , separated 200g caster sugar 1 tsp vanilla extract 200g plain flour 1 tsp baking powder 100ml milk 410g can evaporated milk 200ml sweetened condensed milk 300ml double cream 2 tbsp icing sugar pinch cinnamon",mexican-recipes
8,Black bean tostadas with avocado salsa,"8 corn tortillas (look for them near the other wraps or by the Mexican food) 2 tbsp olive oil 1 onion , chopped 3 garlic cloves , chopped 1 tbsp smoked paprika 1 tbsp ground cumin 5 tbsp cider vinegar 3 tbsp clear honey 3 x 400g cans black beans , rinsed and drained choose a few toppings- chopped tomatoes, sliced red onion, diced avocado, sliced  jalapeño peppers , coriander sprigs crème fraîche or Tabasco chipotle sauce, to serve",mexican-recipes
9,Best ever chunky guacamole,"1 large ripe tomato 3 avocados, very ripe but not bruised juice 1 large lime handful coriander, leaves and stalks chopped, plus a few leaves, roughly chopped, to serve 1 small red onion, finely chopped 1 chilli, red or green, deseeded and finely chopped tortilla chips, to serve",mexican-recipes
